Packet Number,Deed Number,,Deed Name,Deed Type,Case Ref,Transaction Date,Consideration Â£
D402399,0002,,"LAND ADJOINING THOMPSON STREET, HORDEN",Freehold Acquisition,,03-Jul-14,0
D000900,0001,,35 WHITEHOUSE COURT USHAW MOOR,Freehold Acquisition,,15-Jul-14,60300
D000889,0002,,"3 QUEEN STREET, CROOK",Freehold Acquisition,,29-Jul-14,70000
D000903,0001,,LAND AT TUDHOE GRANGE COMPREHENSIVE SCHOOL,Freehold Acquisition,,04-Aug-14,1
ED00299,0011,,"LAND AT TUDHOE GRANGE COMPREHENSIVE SCHOOL, TUDHOE",Freehold Acquisition,,04-Aug-14,1
D000854,0003,,LAND AT BROWNEY LANE & JUNCTION OF A167 SUNDERLAND,Freehold Acquisition,,21-Aug-14,91982
D000889,0003,,"4 QUEEN STREET, CROOK ",Freehold Acquisition,,29-Aug-14,75000
D000912,0001,,OPEN SPACES AT ELLERBY MEWS THORNLEY,Freehold Acquisition,,10-Sep-14,0
D000970,0001,,PETERLEE BUS STATION BEDE WAY PETERLEE COUNTY DURHAM,Freehold Acquisition,,19-Dec-14,500000
D000889,0005,,2 QUEEN STREET CROOK,Freehold Acquisition,,22-Dec-14,87000
FB00024,0006,,GARAGES AT SEAHAM FIRE STATION,Freehold Acquisition,,21-Jan-15,1
PL00008,0043,,LAND AT VILLA REAL CONSETT,Freehold Acquisition,,23-Jan-15,0
D000889,0007,,"1 QUEEN STREET, CROOK",Freehold Acquisition,,04-Feb-15,70000
PL00517,0003,,"6/7 ARMSTRONG HOUSE, NORTH EAST INDUSTRIAL ESTATE,",Freehold Acquisition,,17-Feb-15,80000
D401601,0003,,"3 HENDERSON AVENUE, WHEATLEY HILL",Freehold Acquisition,,18-Feb-15,68362.55
D300289,0034,,MINES & MINERALS AT FORMER BRANDON HOUSE BRIAR AVENUE BRANDON DURHAM COUNTY DURHAM,Freehold Acquisition,,01-Apr-15,1200
D001057,0001,,LAND AT HILL HOUSE FARM COATHAM MUNDEVILLE DARLINGTON COUNTY DURHAM,Freehold Acquisition,,02-Apr-15,1
